,0
1, 'NULL1'
2, 'Gen1A-1'
3, 'Gen1A-10'
4, 'Gen1A-11'
5, 'Gen1A-2'
6, 'Gen1A-3'
7, 'Gen1A-4'
8, 'Gen1A-5'
9, 'Gen1A-6'
10, 'Gen1A-7'
11, 'Gen1A-8'
12, 'Gen1A-9'
13, 'Gen1B-1'
14, 'Gen1B-11'
15, 'Gen1B-12'
16, 'Gen1B-13'
17, 'Gen1B-14'
18, 'Gen1B-2'
19, 'Gen1B-3'
20, 'Gen1B-3-1'
21, 'Gen1B-4'
22, 'Gen1B-4-1'
23, 'Gen1B-5'
24, 'Gen1B-6'
25, 'Gen1B-6-1'
26, 'Gen1B-7'
27, 'Gen2E-17'
28, 'Gen2E-18'
29, 'Gen2E-2'
30, 'Gen2E-30'
31, 'Gen2E-33'
32, 'Gen2E-34'
33, 'Gen2E-35'
34, 'Gen2E-36'
35, 'Gen2E-37'
36, 'Gen2E-5'
37, 'Gen2E-7'
38, 'Gen2W-1'
39, 'Gen2W-11'
40, 'Gen2W-12'
41, 'Gen2W-21'
42, 'Gen2W-24'
43, 'Gen2W-25'
44, 'Gen2W-5'
45, 'Gen2W-6'
46, 'Gen3D-10'
47, 'Gen3D-13'
48, 'Gen3D-15'
49, 'Gen3D-17'
50, 'Gen3D-20'
51, 'Gen3D-23'
52, 'Gen3D-25'
53, 'Gen3D-26'
54, 'Gen3D-29'
55, 'Gen3D-30'
56, 'Gen3D-31'
57, 'Gen3D-32'
58, 'Gen3D-4'
59, 'Gen3D-5'
60, 'Gen3L-10'
61, 'Gen3L-18'
62, 'Gen3L-2'
63, 'Gen3L-20'
64, 'Gen3L-21'
65, 'Gen3L-22'
66, 'Gen3L-26-1'
67, 'Gen3L-27'
68, 'Gen3L-29'
69, 'Gen3L-3'
70, 'Gen3L-30'
71, 'Gen3L-31'
72, 'Gen3L-32'
73, 'Gen3L-33'
74, 'Gen3L-34'
75, 'Gen3L-35'
76, 'Gen3L-36'
77, 'Gen3L-37'
78, 'Gen3L-38'
79, 'Gen3L-38-1'
80, 'Gen3L-39'
81, 'Gen3L-40'
82, 'Gen3L-41'
83, 'Gen3L-42'
84, 'Gen3L-49'
85, 'Gen3L-57'
86, 'Gen3L-58'
87, 'Gen3L-59'
88, 'Gen3L-6'
89, 'Gen3L-60'
90, 'Gen3L-61'
91, 'Gen3L-62'
92, 'Gen3L-63'
93, 'Gen3L-64'
94, 'Gen3L-65'
95, 'Gen3L-66'
96, 'Gen3L-67'
97, 'Gen3L-68'
98, 'Gen3L-7'
99, 'Gen3L-8'
100, 'LCC1受端'
101, 'LCC1送端'
102, 'LCC2受端'
103, 'LCC2送端'
104, 'LCC3受端'
105, 'LCC3送端'
106, 'LCC4受端'
107, 'LCC4送端'
108, 'LCC5受端'
109, 'LCC5送端'
110, 'LCC6受端'
111, 'LCC6送端'
112, 'LCC7受端'
113, 'LCC7送端'
114, 'bus-9001'
115, 'bus-9003'
116, 'bus-9004'
117, 'bus-9006'
118, 'bus-9007'
119, 'bus-9031'
120, 'bus-9032'
121, 'bus-9033'
122, 'bus-9034'
123, 'bus-9035'
124, 'bus-9036'
125, 'bus-9037'
126, 'bus-9038'
127, 'bus-9041'
128, 'bus-9042'
129, 'bus-9043'
130, 'bus-9071'
131, 'bus-9072'
132, 'bus1A-1'
133, 'bus1A-10'
134, 'bus1A-11'
135, 'bus1A-12'
136, 'bus1A-13'
137, 'bus1A-14'
138, 'bus1A-15'
139, 'bus1A-16'
140, 'bus1A-17'
141, 'bus1A-18'
142, 'bus1A-19'
143, 'bus1A-2'
144, 'bus1A-20'
145, 'bus1A-21'
146, 'bus1A-22'
147, 'bus1A-3'
148, 'bus1A-4'
149, 'bus1A-5'
150, 'bus1A-6'
151, 'bus1A-7'
152, 'bus1A-8'
153, 'bus1A-9'
154, 'bus1B-1'
155, 'bus1B-10'
156, 'bus1B-11'
157, 'bus1B-12'
158, 'bus1B-2'
159, 'bus1B-3'
160, 'bus1B-4'
161, 'bus1B-5'
162, 'bus1B-6'
163, 'bus1B-7'
164, 'bus1B-8'
165, 'bus1B-9'
166, 'bus2E-1'
167, 'bus2E-10'
168, 'bus2E-11'
169, 'bus2E-12'
170, 'bus2E-13'
171, 'bus2E-14'
172, 'bus2E-15'
173, 'bus2E-16'
174, 'bus2E-19'
175, 'bus2E-2'
176, 'bus2E-20'
177, 'bus2E-21'
178, 'bus2E-22'
179, 'bus2E-23'
180, 'bus2E-24'
181, 'bus2E-25'
182, 'bus2E-26'
183, 'bus2E-27'
184, 'bus2E-28'
185, 'bus2E-29'
186, 'bus2E-3'
187, 'bus2E-31'
188, 'bus2E-32'
189, 'bus2E-34'
190, 'bus2E-35'
191, 'bus2E-36'
192, 'bus2E-37'
193, 'bus2E-4'
194, 'bus2E-5'
195, 'bus2E-6'
196, 'bus2E-7'
197, 'bus2E-8'
198, 'bus2E-9'
199, 'bus2W-10'
200, 'bus2W-13'
201, 'bus2W-14'
202, 'bus2W-15'
203, 'bus2W-16'
204, 'bus2W-17'
205, 'bus2W-18'
206, 'bus2W-19'
207, 'bus2W-2'
208, 'bus2W-20'
209, 'bus2W-22'
210, 'bus2W-23'
211, 'bus2W-25'
212, 'bus2W-26'
213, 'bus2W-27'
214, 'bus2W-28'
215, 'bus2W-3'
216, 'bus2W-4'
217, 'bus2W-7'
218, 'bus2W-8'
219, 'bus2W-9'
220, 'bus31-55'
221, 'bus3D-1'
222, 'bus3D-10'
223, 'bus3D-11'
224, 'bus3D-12'
225, 'bus3D-13'
226, 'bus3D-14'
227, 'bus3D-15'
228, 'bus3D-16'
229, 'bus3D-17'
230, 'bus3D-18'
231, 'bus3D-19'
232, 'bus3D-2'
233, 'bus3D-20'
234, 'bus3D-21'
235, 'bus3D-22'
236, 'bus3D-24'
237, 'bus3D-27'
238, 'bus3D-28'
239, 'bus3D-3'
240, 'bus3D-6'
241, 'bus3D-7'
242, 'bus3D-8'
243, 'bus3D-9'
244, 'bus3L-1'
245, 'bus3L-11'
246, 'bus3L-12'
247, 'bus3L-13'
248, 'bus3L-14'
249, 'bus3L-15'
250, 'bus3L-16'
251, 'bus3L-17'
252, 'bus3L-19'
253, 'bus3L-23'
254, 'bus3L-24'
255, 'bus3L-25'
256, 'bus3L-26'
257, 'bus3L-28'
258, 'bus3L-31'
259, 'bus3L-32'
260, 'bus3L-33'
261, 'bus3L-34'
262, 'bus3L-35'
263, 'bus3L-36'
264, 'bus3L-37'
265, 'bus3L-38'
266, 'bus3L-39'
267, 'bus3L-4'
268, 'bus3L-40'
269, 'bus3L-41'
270, 'bus3L-43'
271, 'bus3L-44'
272, 'bus3L-45'
273, 'bus3L-46'
274, 'bus3L-47'
275, 'bus3L-48'
276, 'bus3L-5'
277, 'bus3L-50'
278, 'bus3L-51'
279, 'bus3L-52'
280, 'bus3L-53'
281, 'bus3L-54'
282, 'bus3L-56'
283, 'bus3L-9'
284, 'NULL284'
285, 'NULL285'
