I_No,J_No,ID_No,IDName
14,159,317,AC100002_ac
15,158,318,AC100003_ac
16,165,319,AC100004_ac
17,156,320,AC100005_ac
22,160,361,AC1000_ac
20,164,360,AC1001_ac
157,25,362,AC1002_ac
191,187,100,AC100_ac
191,31,101,AC101_ac
191,189,102,AC102_ac
183,185,103,AC103_ac
185,188,104,AC104_ac
178,179,105,AC105_ac
188,31,106,AC106_ac
179,187,107,AC107_ac
179,189,108,AC108_ac
191,192,109,AC109_ac
108,279,10,AC10_ac
161,162,110,AC110_ac
157,156,111,AC111_ac
154,13,112,AC112_ac
13,21,113,AC113_ac
13,164,114,AC114_ac
164,156,115,AC115_ac
13,160,116,AC116_ac
21,156,117,AC117_ac
21,160,118,AC118_ac
162,163,119,AC119_ac
111,157,11,AC11_ac
163,23,120,AC120_ac
140,136,121,AC121_ac
145,146,122,AC122_ac
145,159,123,AC123_ac
145,159,124,AC124_ac
144,158,125,AC125_ac
144,158,126,AC126_ac
145,140,127,AC127_ac
144,138,128,AC128_ac
144,134,129,AC129_ac
110,282,12,AC12_ac
144,139,130,AC130_ac
144,145,131,AC131_ac
138,135,132,AC132_ac
138,139,133,AC133_ac
136,137,134,AC134_ac
136,135,135,AC135_ac
141,146,136,AC136_ac
137,142,137,AC137_ac
137,141,138,AC138_ac
137,140,139,AC139_ac
113,115,13,AC13_ac
135,151,140,AC140_ac
135,139,141,AC141_ac
139,140,142,AC142_ac
135,8,143,AC143_ac
134,133,144,AC144_ac
133,153,145,AC145_ac
153,151,146,AC146_ac
151,5,147,AC147_ac
244,238,148,AC148_ac
150,152,149,AC149_ac
112,267,14,AC14_ac
227,240,150,AC150_ac
238,55,151,AC151_ac
238,237,152,AC152_ac
238,236,153,AC153_ac
238,52,154,AC154_ac
238,54,155,AC155_ac
236,235,156,AC156_ac
55,52,157,AC157_ac
237,51,158,AC158_ac
51,236,159,AC159_ac
186,254,15,AC15_ac
51,53,160,AC160_ac
236,52,161,AC161_ac
236,53,162,AC162_ac
52,54,163,AC163_ac
243,242,164,AC164_ac
243,241,165,AC165_ac
5,2,166,AC166_ac
2,149,167,AC167_ac
143,132,168,AC168_ac
143,147,169,AC169_ac
186,254,16,AC16_ac
148,149,170,AC170_ac
159,158,171,AC171_ac
165,155,172,AC172_ac
6,150,173,AC173_ac
141,140,174,AC174_ac
240,232,175,AC175_ac
240,239,176,AC176_ac
232,239,177,AC177_ac
232,221,178,AC178_ac
232,58,179,AC179_ac
117,118,17,AC17_ac
221,58,180,AC180_ac
221,241,181,AC181_ac
58,59,182,AC182_ac
59,242,183,AC183_ac
242,241,184,AC184_ac
242,226,185,AC185_ac
157,24,186,AC186_ac
19,164,187,AC187_ac
152,7,188,AC188_ac
266,268,189,AC189_ac
117,115,18,AC18_ac
266,272,190,AC190_ac
65,252,191,AC191_ac
275,282,192,AC192_ac
275,268,193,AC193_ac
244,267,194,AC194_ac
245,267,195,AC195_ac
274,273,196,AC196_ac
281,273,197,AC197_ac
273,265,198,AC198_ac
264,265,199,AC199_ac
118,115,19,AC19_ac
101,114,1,AC1_ac
85,268,321,AC200001_ac
86,275,322,AC200003_ac
87,268,323,AC200004_ac
89,268,324,AC200005_ac
90,274,325,AC200006_ac
91,274,326,AC200007_ac
92,220,328,AC200008_ac
93,220,329,AC200009_ac
94,281,330,AC200010_ac
95,281,331,AC200011_ac
96,260,332,AC200012_ac
97,260,333,AC200013_ac
280,281,200,AC200_ac
264,263,201,AC201_ac
220,282,202,AC202_ac
256,255,203,AC203_ac
256,67,204,AC204_ac
255,251,205,AC205_ac
251,246,206,AC206_ac
246,276,207,AC207_ac
246,267,208,AC208_ac
246,88,209,AC209_ac
115,116,20,AC20_ac
66,256,210,AC210_ac
88,276,211,AC211_ac
88,62,212,AC212_ac
88,98,213,AC213_ac
69,253,214,AC214_ac
253,252,215,AC215_ac
249,250,216,AC216_ac
249,248,217,AC217_ac
252,247,218,AC218_ac
252,64,219,AC219_ac
207,218,21,AC21_ac
248,283,220,AC220_ac
248,247,221,AC221_ac
283,98,222,AC222_ac
67,257,223,AC223_ac
67,258,224,AC224_ac
68,257,225,AC225_ac
257,259,226,AC226_ac
259,258,227,AC227_ac
130,118,228,AC228_ac
131,118,229,AC229_ac
216,199,22,AC22_ac
119,115,230,AC230_ac
120,115,231,AC231_ac
121,115,232,AC232_ac
127,116,233,AC233_ac
128,116,234,AC234_ac
129,116,235,AC235_ac
122,115,236,AC236_ac
123,115,237,AC237_ac
124,115,238,AC238_ac
125,115,239,AC239_ac
216,217,23,AC23_ac
126,115,240,AC240_ac
114,166,241,AC241_ac
114,166,242,AC242_ac
117,114,243,AC243_ac
117,114,244,AC244_ac
256,70,245,AC245_ac
202,201,246,AC246_ac
208,206,247,AC247_ac
23,157,248,AC248_ac
9,146,249,AC249_ac
215,219,24,AC24_ac
9,142,250,AC250_ac
132,148,251,AC251_ac
23,155,252,AC252_ac
274,272,253,AC253_ac
60,250,254,AC254_ac
99,98,255,AC255_ac
216,45,256,AC256_ac
215,44,257,AC257_ac
229,49,258,AC258_ac
222,46,259,AC259_ac
200,205,25,AC25_ac
209,41,260,AC260_ac
207,38,261,AC261_ac
161,18,262,AC262_ac
203,40,263,AC263_ac
211,42,264,AC264_ac
196,37,265,AC265_ac
227,48,266,AC266_ac
201,39,267,AC267_ac
194,36,268,AC268_ac
175,29,269,AC269_ac
218,200,26,AC26_ac
225,47,270,AC270_ac
233,50,271,AC271_ac
277,84,272,AC272_ac
247,61,273,AC273_ac
252,63,274,AC274_ac
207,215,275,AC275_ac
216,215,276,AC276_ac
218,219,277,AC277_ac
199,219,278,AC278_ac
203,202,279,AC279_ac
219,201,27,AC27_ac
194,193,280,AC280_ac
193,166,281,AC281_ac
211,209,282,AC282_ac
173,167,283,AC283_ac
186,167,284,AC284_ac
229,222,285,AC285_ac
223,224,286,AC286_ac
191,190,287,AC287_ac
185,184,288,AC288_ac
176,182,289,AC289_ac
217,203,28,AC28_ac
161,160,290,AC290_ac
159,162,291,AC291_ac
239,55,292,AC292_ac
221,237,293,AC293_ac
228,51,294,AC294_ac
243,51,295,AC295_ac
226,236,296,AC296_ac
147,2,297,AC297_ac
154,158,298,AC298_ac
151,150,299,AC299_ac
217,193,29,AC29_ac
100,136,2,AC2_ac
148,150,300,AC300_ac
227,235,301,AC301_ac
265,266,302,AC302_ac
274,275,303,AC303_ac
254,245,304,AC304_ac
258,265,305,AC305_ac
258,265,306,AC306_ac
279,280,307,AC307_ac
220,281,308,AC308_ac
254,263,309,AC309_ac
200,201,30,AC30_ac
254,263,310,AC310_ac
267,276,311,AC311_ac
62,69,312,AC312_ac
165,21,313,AC313_ac
10,132,314,AC314_ac
11,133,315,AC315_ac
12,153,316,AC316_ac
3,139,317,AC317_ac
26,156,318,AC318_ac
4,140,319,AC319_ac
203,204,31,AC31_ac
43,205,321,AC321_ac
32,198,322,AC322_ac
33,180,323,AC323_ac
34,179,324,AC324_ac
35,181,325,AC325_ac
56,243,326,AC326_ac
57,226,327,AC327_ac
71,276,328,AC328_ac
72,246,329,AC329_ac
201,206,32,AC32_ac
73,264,330,AC330_ac
74,279,331,AC331_ac
75,281,332,AC332_ac
76,282,333,AC333_ac
77,255,334,AC334_ac
78,274,335,AC335_ac
80,248,337,AC337_ac
81,259,338,AC338_ac
82,255,339,AC339_ac
204,208,33,AC33_ac
107,116,340,AC340_ac
115,116,341,AC341_ac
113,115,342,AC342_ac
100,136,343,AC343_ac
103,156,345,AC345_ac
111,157,346,AC346_ac
105,163,347,AC347_ac
106,244,348,AC348_ac
112,267,349,AC349_ac
193,169,34,AC34_ac
101,114,350,AC350_ac
108,279,351,AC351_ac
104,281,352,AC352_ac
110,282,353,AC353_ac
102,275,354,AC354_ac
109,214,355,AC355_ac
244,238,356,AC356_ac
244,267,357,AC357_ac
245,267,358,AC358_ac
254,245,359,AC359_ac
193,168,35,AC35_ac
275,282,360,AC360_ac
220,282,361,AC361_ac
275,268,365,AC365_ac
273,265,366,AC366_ac
274,273,367,AC367_ac
79,265,368,AC368_ac
193,195,36,AC36_ac
166,175,37,AC37_ac
205,206,38,AC38_ac
208,182,39,AC39_ac
103,156,3,AC3_ac
208,210,40,AC40_ac
208,212,41,AC41_ac
206,209,42,AC42_ac
210,211,43,AC43_ac
211,213,44,AC44_ac
213,214,45,AC45_ac
214,212,46,AC46_ac
171,198,47,AC47_ac
171,170,48,AC48_ac
171,174,49,AC49_ac
102,275,4,AC4_ac
171,197,50,AC50_ac
198,175,51,AC51_ac
262,261,52,AC52_ac
169,170,53,AC53_ac
169,197,54,AC54_ac
169,196,55,AC55_ac
169,168,56,AC56_ac
169,195,57,AC57_ac
170,197,58,AC58_ac
171,172,59,AC59_ac
105,163,5,AC5_ac
174,180,60,AC60_ac
197,175,61,AC61_ac
197,196,62,AC62_ac
175,186,63,AC63_ac
172,173,64,AC64_ac
173,181,65,AC65_ac
181,192,66,AC66_ac
180,187,67,AC67_ac
234,233,68,AC68_ac
233,225,69,AC69_ac
104,281,6,AC6_ac
225,231,70,AC70_ac
225,224,71,AC71_ac
231,230,72,AC72_ac
230,229,73,AC73_ac
222,223,74,AC74_ac
222,228,75,AC75_ac
279,263,76,AC76_ac
279,278,77,AC77_ac
277,278,78,AC78_ac
277,260,79,AC79_ac
107,116,7,AC7_ac
278,271,80,AC80_ac
260,261,81,AC81_ac
260,269,82,AC82_ac
271,270,83,AC83_ac
270,269,84,AC84_ac
270,83,85,AC85_ac
262,263,86,AC86_ac
190,184,87,AC87_ac
184,182,88,AC88_ac
168,27,89,AC89_ac
106,244,8,AC8_ac
169,28,90,AC90_ac
27,176,91,AC91_ac
27,177,92,AC92_ac
28,178,93,AC93_ac
176,177,94,AC94_ac
177,183,95,AC95_ac
177,185,96,AC96_ac
177,178,97,AC97_ac
30,183,98,AC98_ac
30,185,99,AC99_ac
109,214,9,AC9_ac
